City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Margate,GB,2022-07-19 14:00:20,51.3813,1.3862,100.11,50,3,10.56
271,Andijon,UZ,2022-07-19 14:00:20,40.7821,72.3442,96.08,10,0,9.37
272,Comodoro Rivadavia,AR,2022-07-19 13:56:22,-45.8667,-67.5,51.66,37,0,18.41
273,Inirida,CO,2022-07-19 14:00:21,3.8653,-67.9239,73.56,98,100,2.57
274,Severo-Yeniseyskiy,RU,2022-07-19 14:00:21,60.3725,93.0408,52.77,96,93,4.05
275,Port Macquarie,AU,2022-07-19 14:00:22,-31.4333,152.9167,48.88,78,95,8.41
276,Mao,ES,2022-07-19 13:55:53,39.8885,4.2658,88.36,51,20,9.22
277,Kruisfontein,ZA,2022-07-19 14:00:41,-34.0033,24.7314,61.88,79,92,17.74
278,Hvolsvollur,IS,2022-07-19 14:01:22,63.7533,-20.2243,52.47,84,100,4.63
279,Sao Joao Da Barra,BR,2022-07-19 14:01:23,-21.6403,-41.0511,74.34,67,10,6.55
280,Zhanaozen,KZ,2022-07-19 14:01:23,43.3,52.8,107.51,10,0,10.42
281,Ondangwa,NA,2022-07-19 14:01:23,-17.9167,15.95,75.99,17,0,2.37
282,Jalu,LY,2022-07-19 14:01:24,29.0331,21.5482,97.7,16,1,13.58
283,Sarangani,PH,2022-07-19 14:01:24,5.4033,125.4636,82.85,74,100,8.14
284,Vangaindrano,MG,2022-07-19 14:01:24,-23.35,47.6,69.04,67,25,7.63
285,Asau,RO,2022-07-19 14:01:25,46.4333,26.4,81.52,36,98,3.94
286,Manta,EC,2022-07-19 13:58:55,-0.95,-80.7333,71.38,88,100,8.05
287,Hofn,IS,2022-07-19 13:58:17,64.2539,-15.2082,51.13,84,100,13.96
288,Villa Carlos Paz,AR,2022-07-19 14:00:27,-31.4241,-64.4978,54.12,37,0,6.08
289,Ambilobe,MG,2022-07-19 13:55:42,-13.2,49.05,75.52,59,17,11.41
290,Arica,CL,2022-07-19 14:01:25,-18.475,-70.3042,61.5,77,100,4.59
291,Maria La Baja,CO,2022-07-19 14:01:26,9.9832,-75.3016,83.5,78,93,2.68
292,Merrill,US,2022-07-19 14:01:26,45.1805,-89.6835,74.89,95,0,5.75
293,Rocha,UY,2022-07-19 14:01:26,-34.4833,-54.3333,51.39,68,2,4.32
294,Geraldton,AU,2022-07-19 14:00:37,-28.7667,114.6,54.01,94,97,0.0
